rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
21,85193,2679705,61,59.01639344262295,1.931724394418496,5.7792768478393555,Streptococcus agalactiae,100.0,2.11e-20,111.0,Bacillota,Streptococcaceae,Streptococcus
22,92889,2705683,89,35.95505617977528,1.8748261263665928,5.644329071044922,Homo sapiens,100.0,2.83e-35,161.0,Chordata,Hominidae,Homo
23,99091,2726756,66,56.060606060606055,1.961809115813727,5.636320114135742,Uncultured bacterium,100.0,4.92e-23,120.0,Unknown,Unknown,Unknown
24,5799,2390147,61,40.98360655737705,1.9708322921448431,5.559181213378906,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
25,22777,2455731,71,59.154929577464785,1.9714530971430813,5.521018028259277,Corynebacterium pseudogenitalium,100.0,1.08e-25,129.0,Actinomycetota,Corynebacteriaceae,Corynebacterium
26,56071,2580978,63,50.79365079365079,1.917984425657251,5.486000061035156,Uncultured bacterium,100.0,1.88e-21,114.0,Unknown,Unknown,Unknown
27,101979,2735795,74,51.35135135135135,1.9785905842615672,5.3477630615234375,Hoylesella loescheii,100.0,2.77e-27,134.0,Bacteroidota,Prevotellaceae,Hoylesella
28,35508,2511119,62,53.2258064516129,1.9353651203688242,5.202322006225586,Acinetobacter sp.,100.0,6.3e-21,113.0,Pseudomonadota,Moraxellaceae,Acinetobacter
29,5039,2385778,79,58.22784810126582,1.9778837995858116,5.184264183044434,Arachnia propionica,100.0,6.1e-30,143.0,Actinomycetota,Propionibacteriaceae,Arachnia
30,35098,2507108,209,45.933014354066984,1.952715113365769,5.144577980041504,Uncultured bacterium,100.0,6.72e-100,378.0,Unknown,Unknown,Unknown
31,42855,2535506,61,62.295081967213115,1.937986057212116,5.11436128616333,Paenibacillus cellulosilyticus,98.361,8.97e-19,106.0,Bacillota,Paenibacillaceae,Paenibacillus
32,84880,2679018,61,62.295081967213115,1.919083984380127,5.086808204650879,Streptococcus lutetiensis,100.0,2.11e-20,111.0,Bacillota,Streptococcaceae,Streptococcus
33,105830,2749102,63,47.61904761904761,1.924704223104421,4.955048084259033,Streptococcus pneumoniae,100.0,1.88e-21,114.0,Bacillota,Streptococcaceae,Streptococcus
34,72772,2637543,63,60.317460317460316,1.946318486613614,4.95230770111084,Pseudopropionibacterium propionicum,100.0,1.88e-21,114.0,Actinomycetota,Propionibacteriaceae,Arachnia
35,3041,2379160,88,63.63636363636363,1.9357980901330296,4.9332451820373535,Arachnia propionica,100.0,9.67e-35,159.0,Actinomycetota,Propionibacteriaceae,Arachnia
36,34819,2506793,66,54.54545454545454,1.9362600275315274,4.895074367523193,Streptococcus parasanguinis,100.0,4.92e-23,120.0,Bacillota,Streptococcaceae,Streptococcus
37,34788,2506732,61,54.09836065573771,1.9383414873687372,4.891013145446777,Schaalia odontolytica,100.0,2.11e-20,111.0,Actinomycetota,Actinomycetaceae,Schaalia
38,71228,2631981,88,62.5,1.932714602530754,4.876344680786133,Arachnia propionica,100.0,9.67e-35,159.0,Actinomycetota,Propionibacteriaceae,Arachnia
39,74184,2642386,69,63.76811594202898,1.930259213328076,4.859315872192383,Streptosporangium sp.,100.0,1.28e-24,125.0,Actinomycetota,Streptosporangiaceae,Streptosporangium
40,25485,2467075,124,62.096774193548384,1.9541799346085988,4.857381820678711,Arachnia propionica,100.0,4.71e-54,224.0,Actinomycetota,Propionibacteriaceae,Arachnia
41,50967,2562951,90,56.666666666666664,1.938987309573198,4.816922187805176,Uncultured Corynebacterium,100.0,8.26e-36,163.0,Actinomycetota,Corynebacteriaceae,Corynebacterium
42,55807,2579762,61,40.98360655737705,1.9721468987802635,4.803682327270508,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
43,41128,2529645,69,57.971014492753625,1.9801821889996716,4.802072525024414,MAG: uncultured,100.0,1.28e-24,125.0,Pseudomonadota,Unknown,Unknown
44,41084,2529265,61,52.459016393442624,1.870832140157877,4.78380823135376,Arachnia propionica,100.0,2.11e-20,111.0,Actinomycetota,Propionibacteriaceae,Arachnia
45,22015,2454622,77,46.75324675324675,1.9685299213365357,4.7151689529418945,Clostridium bovifaecis,100.0,7.07e-29,140.0,Bacillota,Clostridiaceae,Clostridium
46,69444,2626120,61,54.09836065573771,1.9902277600210603,4.693167209625244,Desulfobulbus oralis,100.0,2.11e-20,111.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
47,98856,2725821,61,75.40983606557377,1.781037578035845,4.624896049499512,Actinomyces timonensis,100.0,2.11e-20,111.0,Actinomycetota,Actinomycetaceae,Actinomyces
48,79819,2660861,61,67.21311475409836,1.855786642545942,4.511706352233887,Uncultured bacterium,100.0,2.11e-20,111.0,Unknown,Unknown,Unknown
49,89125,2693025,70,57.14285714285714,1.9634688265852156,4.456510543823242,MAG: Ferrovum,100.0,3.77e-25,127.0,Pseudomonadota,Ferrovaceae,Ferrovum
50,89294,2693636,64,59.375,1.9627712356445657,4.4531660079956055,Clostridium cochlearium,100.0,4.29e-17,100.0,Bacillota,Clostridiaceae,Clostridium
51,63717,2606167,82,37.80487804878049,1.9400493100245257,4.413335800170898,Homo sapiens,100.0,1.54e-31,149.0,Chordata,Hominidae,Homo
52,105638,2748890,88,37.5,1.9448725890987713,4.385220527648926,Homo sapiens,100.0,9.67e-35,159.0,Chordata,Hominidae,Homo
53,57775,2586713,62,46.774193548387096,1.926365113941557,4.360783576965332,Streptococcus sp.,100.0,6.3e-21,113.0,Bacillota,Streptococcaceae,Streptococcus
54,19365,2444787,93,53.76344086021505,1.9509695959164122,4.358817100524902,Bacillus halotolerans,100.0,2.05e-37,168.0,Bacillota,Bacillaceae,Bacillus
55,31929,2489735,99,62.62626262626263,1.9419090509717623,4.3495283126831055,Arachnia propionica,100.0,1.26e-40,179.0,Actinomycetota,Propionibacteriaceae,Arachnia
56,76555,2649146,74,58.108108108108105,1.884632474276443,4.348532676696777,Pseudopropionibacterium propionicum,100.0,2.77e-27,134.0,Actinomycetota,Propionibacteriaceae,Arachnia
57,61060,2598635,61,60.65573770491803,1.9587451631519053,4.334301471710205,Actinomyces oris,100.0,2.11e-20,111.0,Actinomycetota,Actinomycetaceae,Actinomyces
58,34795,2506748,68,51.470588235294116,1.9815269037907832,4.331887245178223,Gemella morbillorum,100.0,4.32e-24,123.0,Bacillota,Gemellaceae,Gemella
59,62322,2600651,147,44.89795918367347,1.9305442869606477,4.331707000732422,Uncultured Tissierellaceae,100.0,1.95e-66,266.0,Bacillota,Tissierellaceae,Unknown
60,53107,2569730,64,64.0625,1.9413980376599163,4.295376300811768,Roseateles noduli,100.0,5.58e-22,116.0,Pseudomonadota,Sphaerotilaceae,Roseateles
61,60694,2595220,109,68.80733944954129,1.8649143241267923,4.288317680358887,Arachnia propionica,100.0,5.47e-46,197.0,Actinomycetota,Propionibacteriaceae,Arachnia
62,58312,2587780,91,56.043956043956044,1.9501053789598406,4.225015640258789,Corynebacterium pseudotuberculosis,100.0,2.41e-36,165.0,Actinomycetota,Corynebacteriaceae,Corynebacterium
63,43407,2536778,69,33.33333333333333,1.8956663565933811,4.219077110290527,Streptococcus sp.,100.0,1.28e-24,125.0,Bacillota,Streptococcaceae,Streptococcus
64,25004,2466523,62,50.0,1.9501997936563944,4.216017723083496,Parvimonas micra,100.0,6.3e-21,113.0,Bacillota,Peptoniphilaceae,Parvimonas
65,101463,2733511,70,61.42857142857143,1.952531135294716,4.1772613525390625,Actinomyces sp.,100.0,3.77e-25,127.0,Actinomycetota,Actinomycetaceae,Actinomyces
66,51396,2563802,74,70.27027027027027,1.8700829784452095,4.166954040527344,Arachnia propionica,100.0,2.77e-27,134.0,Actinomycetota,Propionibacteriaceae,Arachnia
67,66098,2614914,71,47.88732394366197,1.99504176422349,4.14199161529541,Gemella morbillorum,100.0,1.08e-25,129.0,Bacillota,Gemellaceae,Gemella
68,2940,2379031,73,50.68493150684932,1.957128104556405,4.141990661621094,Neisseria sp.,100.0,9.41e-27,132.0,Pseudomonadota,Neisseriaceae,Neisseria
69,89058,2692458,61,63.934426229508205,1.907720484420159,4.140161514282227,Actinomyces viscosus,100.0,2.11e-20,111.0,Actinomycetota,Actinomycetaceae,Actinomyces
70,32623,2491491,65,63.07692307692307,1.9457896206239447,4.128167152404785,Pseudopropionibacterium propionicum,98.462,7.05e-21,113.0,Actinomycetota,Propionibacteriaceae,Arachnia
71,83626,2673571,85,57.647058823529406,1.9533984015945791,4.120138168334961,Pseudopropionibacterium propionicum,100.0,3.87e-33,154.0,Actinomycetota,Propionibacteriaceae,Arachnia
72,36992,2516516,72,54.166666666666664,1.94488099582645,4.100449562072754,MAG: Vallitaleaceae,97.222,1.65e-23,122.0,Bacillota,Vallitaleaceae,Unknown
73,48150,2551989,82,53.65853658536586,1.9590180656515312,4.026411533355713,MAG TPA_asm:,97.561,7.97e-29,140.0,Uroviricota,Unknown,Unknown
74,71097,2631803,69,60.86956521739131,1.9424563843887657,4.014118671417236,Cellulomonas gilvus,97.101,6.62e-22,116.0,Actinomycetota,Cellulomonadaceae,Cellulomonas
75,89820,2694612,61,42.62295081967213,1.9345197509827265,4.01230001449585,Streptococcus oralis,100.0,2.11e-20,111.0,Bacillota,Streptococcaceae,Streptococcus
76,2050,2375146,76,55.26315789473685,1.9838942314133838,4.011142730712891,Corynebacterium matruchotii,100.0,2.4e-28,138.0,Actinomycetota,Corynebacteriaceae,Corynebacterium
77,95084,2712552,73,56.16438356164384,1.98560064653985,3.966773748397827,Ottowia caeni,100.0,1.15e-25,129.0,Pseudomonadota,Comamonadaceae,Ottowia
78,21114,2450776,61,59.01639344262295,1.9668803111438047,3.9645638465881348,Rothia dentocariosa,100.0,2.11e-20,111.0,Actinomycetota,Micrococcaceae,Rothia
79,11007,2417501,67,61.19402985074627,1.9552967437005597,3.960880756378174,Arachnia propionica,100.0,1.46e-23,122.0,Actinomycetota,Propionibacteriaceae,Arachnia
80,51067,2563218,61,59.01639344262295,1.9433093965493058,3.9267587661743164,Rhizobium indicum,100.0,2.11e-20,111.0,Pseudomonadota,Rhizobiaceae,Rhizobium
81,56742,2582054,107,63.55140186915887,1.9235541480357468,3.9258811473846436,Fretibacterium fastidiosum,91.589,1.98e-32,153.0,Synergistota,Aminobacteriaceae,Fretibacterium
82,53435,2570096,101,52.475247524752476,1.9522152470923602,3.911439895629883,Streptococcus mitis,100.0,1.07e-41,183.0,Bacillota,Streptococcaceae,Streptococcus
83,30473,2483992,111,42.34234234234234,1.9791438833695252,3.9045732021331787,Homo sapiens,100.0,4.55e-47,201.0,Chordata,Hominidae,Homo
84,4825,2385023,61,59.01639344262295,1.925345647173747,3.8880467414855957,Anoxybacter fermentans,98.361,8.97e-19,106.0,Bacillota,Unknown,Anoxybacter
85,41390,2530614,67,47.76119402985074,1.9740185238633061,3.887620449066162,Avibacterium paragallinarum,100.0,1.46e-23,122.0,Pseudomonadota,Pasteurellaceae,Avibacterium
86,103118,2739981,71,35.2112676056338,1.894298346678324,3.879209041595459,Streptococcus cristatus,98.592,4.6e-24,124.0,Bacillota,Streptococcaceae,Streptococcus
87,81434,2666828,73,64.38356164383562,1.8975950535748443,3.876322031021118,MAG: Nitrospira,100.0,1.15e-25,129.0,Nitrospirota,Nitrospiraceae,Nitrospira
88,89082,2692683,61,72.1311475409836,1.831701522408916,3.8525495529174805,Arachnia propionica,100.0,2.11e-20,111.0,Actinomycetota,Propionibacteriaceae,Arachnia
89,84961,2679229,65,56.92307692307692,1.9858261115053366,3.844663619995117,Arachnia propionica,100.0,1.66e-22,118.0,Actinomycetota,Propionibacteriaceae,Arachnia
90,8284,2398506,64,46.875,1.9078900545311064,3.8431613445281982,Streptococcus sp.,100.0,5.58e-22,116.0,Bacillota,Streptococcaceae,Streptococcus
91,68729,2621907,127,51.181102362204726,1.93907967597662,3.8321845531463623,Gemella sanguinis,100.0,1.15e-55,230.0,Bacillota,Gemellaceae,Gemella
92,80295,2662036,73,64.38356164383562,1.9341871448842531,3.8314781188964844,Arachnia propionica,100.0,9.41e-27,132.0,Actinomycetota,Propionibacteriaceae,Arachnia
93,49573,2557712,96,57.291666666666664,1.9762405840050152,3.821216344833374,Phreatobacter stygius,100.0,5.1e-39,174.0,Pseudomonadota,Phreatobacteraceae,Phreatobacter
94,41822,2531241,122,59.01639344262295,1.9592422264030724,3.799233913421631,Desulfobulbus oralis,100.0,5.6e-53,221.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
95,9544,2402872,64,29.6875,1.7835262140986152,3.7755188941955566,Porphyromonas gingivalis,100.0,5.58e-22,116.0,Bacteroidota,Porphyromonadaceae,Porphyromonas
96,83449,2673333,69,46.3768115942029,1.9294605768932094,3.7683472633361816,Gemella sp.,100.0,1.28e-24,125.0,Bacillota,Gemellaceae,Gemella
97,32606,2491326,64,54.6875,1.990360146900588,3.7666280269622803,MAG: Cardiobacteriaceae,100.0,5.58e-22,116.0,Pseudomonadota,Cardiobacteriaceae,Unknown
98,23624,2461222,88,50.0,1.9782214734699743,3.751950263977051,Corynebacterium matruchotii,100.0,9.67e-35,159.0,Actinomycetota,Corynebacteriaceae,Corynebacterium
99,16753,2436106,61,47.540983606557376,1.9587451631519053,3.7489733695983887,Staphylococcus aureus,100.0,2.11e-20,111.0,Bacillota,Staphylococcaceae,Staphylococcus
100,96721,2716995,130,70.0,1.8380980865205159,3.736940383911133,Actinomyces sp.,96.154,3.18e-50,213.0,Actinomycetota,Actinomycetaceae,Actinomyces
