rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
37,75731,2647036,67,55.223880597014926,1.8715642446665268,7.607834339141846,Desulfitobacterium sp.,98.507,6.2e-22,117.0,Bacillota,Desulfitobacteriaceae,Desulfitobacterium
38,76352,2648884,80,67.5,1.8929414913662503,7.570220470428467,Ralstonia solanacearum,100.0,1.79e-30,145.0,Pseudomonadota,Burkholderiaceae,Ralstonia
39,22241,2454877,61,65.57377049180327,1.0239228180015463,7.427587032318115,,,,,,,
40,56742,2582054,107,63.55140186915887,1.9235541480357468,7.41357946395874,Fretibacterium fastidiosum,91.589,1.98e-32,153.0,Synergistota,Aminobacteriaceae,Fretibacterium
41,95084,2712552,73,56.16438356164384,1.98560064653985,7.4041266441345215,Ottowia caeni,100.0,1.15e-25,129.0,Pseudomonadota,Comamonadaceae,Ottowia
42,89071,2692552,78,56.41025641025641,1.934559199734664,7.391909122467041,Clostridium perfringens,100.0,2.08e-29,141.0,Bacillota,Clostridiaceae,Clostridium
43,13237,2425448,77,58.44155844155844,1.9551881179868946,7.361265182495117,Desulfobulbus oralis,100.0,7.07e-29,140.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
44,27423,2475117,76,55.26315789473685,1.9809855619393553,7.314568996429443,Homo sapiens,100.0,2.4e-28,138.0,Chordata,Hominidae,Homo
45,2,610007,61,47.540983606557376,1.1034990673875955,7.293715953826904,,,,,,,
46,44596,2540445,63,31.746031746031743,1.840407230400658,7.275449275970459,Rhinolophus hipposideros,100.0,1.88e-21,114.0,Chordata,Rhinolophidae,Rhinolophus
47,26650,2473291,62,64.51612903225806,1.876496786366209,7.269586086273193,Neisseria sp.,100.0,6.3e-21,113.0,Pseudomonadota,Neisseriaceae,Neisseria
48,75809,2647627,63,49.2063492063492,1.9694654837736065,7.2409749031066895,Fusarium venenatum,100.0,1.88e-21,114.0,Ascomycota,Nectriaceae,Fusarium
49,89067,2692525,61,59.01639344262295,1.9602661650006161,7.238684177398682,Aminirod propionatiphilus,100.0,2.11e-20,111.0,Synergistota,Aminiphilaceae,Aminirod
50,98039,2722449,72,45.83333333333333,1.9871086637005075,7.132748126983643,Fusobacterium animalis,100.0,3.19e-26,131.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
51,102833,2739569,61,44.26229508196721,1.9640604333502663,7.096721649169922,Streptococcus dysgalactiae,100.0,2.11e-20,111.0,Bacillota,Streptococcaceae,Streptococcus
52,25485,2467075,124,62.096774193548384,1.9541799346085988,7.082754611968994,Arachnia propionica,100.0,4.71e-54,224.0,Actinomycetota,Propionibacteriaceae,Arachnia
53,12288,2423118,61,36.0655737704918,1.883240577891304,7.069839000701904,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
54,80500,2662285,92,44.565217391304344,1.94928544382292,7.049365997314453,Clostridium sporogenes,100.0,7.04e-37,167.0,Bacillota,Clostridiaceae,Clostridium
55,44866,2541036,63,38.095238095238095,1.8915755797987328,7.0350470542907715,Uncultured Bathycoccus,100.0,1.88e-21,114.0,Chlorophyta,Unknown,Unknown
56,76155,2648605,69,68.11594202898551,1.8664238489730478,6.956849575042725,Arachnia propionica,100.0,1.28e-24,125.0,Actinomycetota,Propionibacteriaceae,Arachnia
57,101979,2735795,74,51.35135135135135,1.9785905842615672,6.953121662139893,Hoylesella loescheii,100.0,2.77e-27,134.0,Bacteroidota,Prevotellaceae,Hoylesella
58,77505,2652841,61,77.04918032786885,1.7613881660794792,6.952904224395752,Iamia majanohamensis,100.0,2.11e-20,111.0,Actinomycetota,Iamiaceae,Iamia
59,72428,2636878,61,39.34426229508197,1.9621325123194846,6.952303409576416,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
60,105638,2748890,88,37.5,1.9448725890987713,6.944241046905518,Homo sapiens,100.0,9.67e-35,159.0,Chordata,Hominidae,Homo
61,93178,2706061,71,69.01408450704226,1.8853732306245288,6.923982620239258,Actinomyces viscosus,100.0,1.08e-25,129.0,Actinomycetota,Actinomycetaceae,Actinomyces
62,59916,2593274,61,50.81967213114754,1.9510501943492131,6.854494571685791,Acinetobacter baumannii,100.0,2.11e-20,111.0,Pseudomonadota,Moraxellaceae,Acinetobacter
63,91251,2700061,75,24.0,1.756623811079363,6.848638534545898,,,,,,,
64,32598,2491286,68,52.94117647058824,1.971335285306981,6.815122127532959,Candidatus Saccharibacteria,100.0,4.32e-24,123.0,Candidatus Saccharimonadota,Unknown,Unknown
65,86778,2685292,64,54.6875,1.9715153033374995,6.798573970794678,uncultured bacterium,100.0,5.58e-22,116.0,Unknown,Unknown,Unknown
66,49132,2556722,63,50.79365079365079,1.9775861861497872,6.764291286468506,Mycobacterium tuberculosis,100.0,1.88e-21,114.0,Actinomycetota,Mycobacteriaceae,Mycobacterium
67,41490,2530778,66,48.484848484848484,1.6000490199812691,6.755438327789307,,,,,,,
68,59337,2590848,85,52.94117647058824,1.9949550004971865,6.753509998321533,Candidatus Nitrosocosmicus,100.0,3.87e-33,154.0,Nitrososphaerota,Nitrososphaeraceae,Candidatus Nitrosocosmicus
69,36877,2516167,65,55.38461538461539,1.952785315339241,6.720203399658203,Lautropia mirabilis,100.0,1.66e-22,118.0,Pseudomonadota,Burkholderiaceae,Lautropia
70,89125,2693025,70,57.14285714285714,1.9634688265852156,6.7199859619140625,MAG: Ferrovum,100.0,3.77e-25,127.0,Pseudomonadota,Ferrovaceae,Ferrovum
71,55081,2576441,61,34.42622950819672,1.6796605229195791,6.692014217376709,,,,,,,
72,48012,2551293,62,69.35483870967742,1.8667647420676337,6.691284656524658,Pseudopropionibacterium propionicum,100.0,6.3e-21,113.0,Actinomycetota,Propionibacteriaceae,Arachnia
73,87324,2686038,86,37.2093023255814,1.9455732135644725,6.682773113250732,Ottowia sp.,100.0,1.13e-33,156.0,Pseudomonadota,Comamonadaceae,Ottowia
74,65958,2614550,69,55.072463768115945,1.985113277217706,6.6774773597717285,Kocuria sp.,100.0,1.28e-24,125.0,Actinomycetota,Micrococcaceae,Kocuria
75,105830,2749102,63,47.61904761904761,1.924704223104421,6.65211820602417,Streptococcus pneumoniae,100.0,1.88e-21,114.0,Bacillota,Streptococcaceae,Streptococcus
76,101239,2733150,63,60.317460317460316,1.9268893054615057,6.632716655731201,Actinomyces sp.,100.0,1.88e-21,114.0,Actinomycetota,Actinomycetaceae,Actinomyces
77,56992,2582313,127,62.99212598425197,1.9376703609133463,6.567154407501221,Olsenella sp.,100.0,1.15e-55,230.0,Actinomycetota,Atopobiaceae,Olsenella
78,80293,2662034,61,57.377049180327866,1.967572297254217,6.546079635620117,Bacillus sp.,100.0,2.11e-20,111.0,Bacillota,Bacillaceae,Bacillus
79,37779,2517730,88,55.68181818181818,1.9618416152153642,6.537883758544922,Cardiobacterium hominis,100.0,9.67e-35,159.0,Pseudomonadota,Cardiobacteriaceae,Cardiobacterium
80,73964,2641333,75,53.333333333333336,1.9591516993505078,6.522859573364258,Abiotrophia defectiva,100.0,8.17e-28,136.0,Bacillota,Aerococcaceae,Abiotrophia
81,99701,2727509,92,40.21739130434783,1.953586136182168,6.50068998336792,Chaetomium sp.,100.0,7.04e-37,167.0,Ascomycota,Chaetomiaceae,Chaetomium
82,84899,2679056,61,59.01639344262295,1.941043078129074,6.479307651519775,Paenibacillus hordei,100.0,2.11e-20,111.0,Bacillota,Paenibacillaceae,Paenibacillus
83,41500,2530790,77,64.93506493506493,1.8939542059417067,6.454935073852539,Aggregatibacter aphrophilus,100.0,7.07e-29,140.0,Pseudomonadota,Pasteurellaceae,Aggregatibacter
84,53404,2570063,61,36.0655737704918,1.882340774344565,6.435511112213135,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
85,41411,2530674,76,38.15789473684211,1.9488899831923336,6.425378322601318,Homo sapiens,100.0,2.4e-28,138.0,Chordata,Hominidae,Homo
86,324,2369689,78,61.53846153846154,1.9562895948660244,6.391005992889404,MAG: Vicinamibacterales,100.0,2.08e-29,141.0,Acidobacteriota,Unknown,Unknown
87,26039,2469369,78,61.53846153846154,1.9542823944388745,6.374361038208008,Desulfobulbus oligotrophicus,100.0,2.08e-29,141.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
88,15887,2433232,73,64.38356164383562,1.9043900688745723,6.361961364746094,Fusobacterium animalis,100.0,9.41e-27,132.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
89,21623,2453718,74,52.702702702702695,1.9546470021520541,6.352294921875,Epidermidibacterium keratini,100.0,2.77e-27,134.0,Actinomycetota,Sporichthyaceae,Epidermidibacterium
90,62885,2604750,61,59.01639344262295,1.941043078129074,6.350584030151367,Arachnia propionica,100.0,2.11e-20,111.0,Actinomycetota,Propionibacteriaceae,Arachnia
91,101126,2732840,61,39.34426229508197,1.964692469985276,6.349208831787109,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
92,40305,2526014,84,72.61904761904762,1.8225296565972955,6.341196537017822,Actinomyces oris,100.0,1.32e-32,152.0,Actinomycetota,Actinomycetaceae,Actinomyces
93,89128,2693057,61,42.62295081967213,1.4561112661478437,6.3057861328125,,,,,,,
94,55807,2579762,61,40.98360655737705,1.9721468987802635,6.301294326782227,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
95,1305,2372602,92,54.347826086956516,1.8996320824496964,6.270742893218994,Arachnia propionica,100.0,7.04e-37,167.0,Actinomycetota,Propionibacteriaceae,Arachnia
96,12332,2423568,62,59.67741935483871,1.9720263244856202,6.25966215133667,Desulfobacca acetoxidans,98.387,2.68e-19,108.0,Thermodesulfobacteriota,Desulfobaccaceae,Desulfobacca
97,28898,2479982,94,51.06382978723404,1.9932354041872555,6.255466938018799,Parvimonas micra,100.0,5.99e-38,170.0,Bacillota,Peptoniphilaceae,Parvimonas
98,92740,2705408,70,54.285714285714285,1.9563773622329639,6.231962203979492,[Eubacterium] yurii,100.0,3.77e-25,127.0,Bacillota,Filifactoraceae,Peptoanaerobacter
99,49358,2557363,61,31.147540983606557,1.8225272911251393,6.228535175323486,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
100,46138,2544980,94,52.12765957446809,1.955657628583834,6.220426082611084,Gemella haemolysans,100.0,5.99e-38,170.0,Bacillota,Gemellaceae,Gemella
