rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
33,32,2368942,61,55.73770491803278,1.990041897445637,4.390008926391602,MAG: uncultured,100.0,2.11e-20,111.0,Bacteroidota,Unknown,Unknown
34,22241,2454877,61,65.57377049180327,1.0239228180015463,4.305423736572266,,,,,,,
35,50999,2563038,65,61.53846153846154,1.9607925801056458,4.279137134552002,Saccharopolyspora sp.,100.0,1.66e-22,118.0,Actinomycetota,Pseudonocardiaceae,Saccharopolyspora
36,86778,2685292,64,54.6875,1.9715153033374995,4.271063804626465,uncultured bacterium,100.0,5.58e-22,116.0,Unknown,Unknown,Unknown
37,41128,2529645,69,57.971014492753625,1.9801821889996716,4.239460468292236,MAG: uncultured,100.0,1.28e-24,125.0,Pseudomonadota,Unknown,Unknown
38,79805,2660680,63,50.79365079365079,1.907382400895482,4.2250847816467285,Rhodoferax sp.,100.0,1.88e-21,114.0,Pseudomonadota,Comamonadaceae,Rhodoferax
39,79362,2657673,62,53.2258064516129,1.9434275728878356,4.222002983093262,Uncultured bacterium,100.0,6.3e-21,113.0,Unknown,Unknown,Unknown
40,9158,2400238,61,55.73770491803278,1.9569975011825842,4.214173316955566,Castellaniella ginsengisoli,100.0,2.11e-20,111.0,Pseudomonadota,Alcaligenaceae,Castellaniella
41,0,496659,61,44.26229508196721,1.4292062682172793,4.1719255447387695,,,,,,,
42,12332,2423568,62,59.67741935483871,1.9720263244856202,4.155790328979492,Desulfobacca acetoxidans,98.387,2.68e-19,108.0,Thermodesulfobacteriota,Desulfobaccaceae,Desulfobacca
43,55208,2576579,70,45.714285714285715,1.9460831814792088,4.1447625160217285,Streptococcus parasanguinis,100.0,3.77e-25,127.0,Bacillota,Streptococcaceae,Streptococcus
44,38856,2521644,62,67.74193548387096,1.8858973983393694,4.108723163604736,Amycolatopsis sp.,100.0,6.3e-21,113.0,Actinomycetota,Pseudonocardiaceae,Amycolatopsis
45,56264,2581432,75,62.66666666666667,1.9356091617453688,4.029964923858643,Symphoricarpos occidentalis,100.0,8.17e-28,136.0,Streptophyta,Caprifoliaceae,Symphoricarpos
46,83375,2673229,66,54.54545454545454,1.945911276038717,3.9961931705474854,Ottowia sp.,100.0,4.92e-23,120.0,Pseudomonadota,Comamonadaceae,Ottowia
47,4825,2385023,61,59.01639344262295,1.925345647173747,3.994884490966797,Anoxybacter fermentans,98.361,8.97e-19,106.0,Bacillota,Unknown,Anoxybacter
48,15887,2433232,73,64.38356164383562,1.9043900688745723,3.9755568504333496,Fusobacterium nucleatum,100.0,9.41e-27,132.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
49,62818,2604484,61,50.81967213114754,1.9902277600210603,3.9711546897888184,Tannerella forsythia,100.0,2.11e-20,111.0,Bacteroidota,Tannerellaceae,Tannerella
50,35508,2511119,62,53.2258064516129,1.9353651203688242,3.9657657146453857,Acinetobacter sp.,100.0,6.3e-21,113.0,Pseudomonadota,Moraxellaceae,Acinetobacter
51,105638,2748890,88,37.5,1.9448725890987713,3.949565887451172,Homo sapiens,100.0,9.67e-35,159.0,Chordata,Hominidae,Homo
52,21623,2453718,74,52.702702702702695,1.9546470021520546,3.9467403888702393,Kitasatospora sp.,100.0,2.77e-27,134.0,Actinomycetota,Streptomycetaceae,Kitasatospora
53,8316,2398538,70,55.714285714285715,1.932340084428156,3.9406187534332275,Clostridioides difficile,100.0,3.77e-25,127.0,Bacillota,Peptostreptococcaceae,Clostridioides
54,13237,2425448,77,58.44155844155844,1.9551881179868946,3.895965814590454,Desulfobulbus oralis,100.0,7.07e-29,140.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
55,26635,2473120,62,50.0,1.9962415338676816,3.8853161334991455,Pseudomonas aeruginosa,100.0,6.3e-21,113.0,Pseudomonadota,Pseudomonadaceae,Pseudomonas
56,55807,2579762,61,40.98360655737705,1.9721468987802635,3.881412982940674,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
57,32598,2491286,68,52.94117647058824,1.971335285306981,3.8776700496673584,Candidatus Saccharibacteria,100.0,4.32e-24,123.0,Candidatus Saccharimonadota,Unknown,Unknown
58,26039,2469369,78,61.53846153846154,1.9542823944388745,3.868889093399048,Desulfobulbus oligotrophicus,100.0,2.08e-29,141.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
59,78153,2654653,66,54.54545454545454,1.8847663275979039,3.8590517044067383,Clostridium saccharobutylicum,87.931,2.24e-8,72.5,Bacillota,Clostridiaceae,Clostridium
60,58389,2587861,76,60.526315789473685,1.9644829280359848,3.8550913333892822,MAG: Vicinamibacterales,100.0,2.4e-28,138.0,Acidobacteriota,Unknown,Unknown
61,76352,2648884,80,67.5,1.8929414913662503,3.852278470993042,Ralstonia solanacearum,100.0,1.79e-30,145.0,Pseudomonadota,Burkholderiaceae,Ralstonia
62,24177,2461800,139,51.798561151079134,1.9528325231240466,3.8481624126434326,Fusobacterium nucleatum,100.0,3.98e-62,251.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
63,52459,2568107,61,39.34426229508197,1.9257491327434368,3.8323283195495605,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
64,76265,2648766,83,53.01204819277109,1.9791665377146765,3.8039917945861816,Danio rerio,100.0,4.51e-32,150.0,Chordata,Danionidae,Danio
65,36992,2516516,72,54.166666666666664,1.9448809958264497,3.7283384799957275,Gottschalkia acidurici,97.222,1.65e-23,122.0,Bacillota,Gottschalkiaceae,Gottschalkia
66,71519,2632319,79,27.848101265822784,1.806365152784205,3.7211689949035645,,,,,,,
67,92740,2705408,70,54.285714285714285,1.9563773622329639,3.7177834510803223,[Eubacterium] yurii,100.0,3.77e-25,127.0,Bacillota,Filifactoraceae,Peptoanaerobacter
68,28984,2480075,88,48.86363636363637,1.8254543092789248,3.699751138687134,Clematis sp.,100.0,9.67e-35,159.0,Streptophyta,Ranunculaceae,Clematis
69,41490,2530778,66,48.484848484848484,1.6000490199812691,3.688714027404785,,,,,,,
70,34241,2505261,61,55.73770491803278,1.9547417496396882,3.6836111545562744,Fusobacterium animalis,100.0,2.11e-20,111.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
71,20050,2448499,72,56.94444444444444,1.9854724082446875,3.663846731185913,Anatilimnocola aggregata,100.0,3.19e-26,131.0,Planctomycetota,Pirellulaceae,Anatilimnocola
72,20224,2448732,104,53.84615384615385,1.9248430397541343,3.6550498008728027,Curtobacterium sp.,99.038,1.12e-41,184.0,Actinomycetota,Microbacteriaceae,Curtobacterium
73,27398,2475089,66,53.03030303030303,1.9941822755773035,3.6461338996887207,Desulfobulbus propionicus,98.485,2.09e-21,115.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
74,15340,2432617,78,57.692307692307686,1.9807274214658706,3.629917621612549,Phreatobacter stygius,100.0,2.53e-28,138.0,Pseudomonadota,Phreatobacteraceae,Phreatobacter
75,37254,2517099,98,44.89795918367347,1.98588945647156,3.6266913414001465,Fusobacterium canifelinum,100.0,4.33e-40,178.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
76,59337,2590848,85,52.94117647058824,1.9949550004971865,3.62144136428833,Candidatus Nitrosocosmicus,100.0,3.87e-33,154.0,Nitrososphaerota,Nitrososphaeraceae,Candidatus Nitrosocosmicus
77,52750,2569240,61,55.73770491803278,1.9640604333502663,3.6102817058563232,MAG: Mariniblastus,100.0,2.11e-20,111.0,Planctomycetota,Pirellulaceae,Mariniblastus
78,35835,2511568,67,58.2089552238806,1.9326565074810471,3.6041810512542725,Uncultured archaeon,100.0,1.46e-23,122.0,Unknown,Unknown,Unknown
79,95320,2712791,118,54.23728813559322,1.987285656672547,3.5984995365142822,Acinetobacter lwoffii,100.0,7.91e-51,214.0,Pseudomonadota,Moraxellaceae,Acinetobacter
80,45990,2544635,76,52.63157894736842,1.9259865576705784,3.592745304107666,,,,,,,
81,12379,2423987,65,60.0,1.968387065705624,3.5649032592773438,Abiotrophia defectiva,100.0,1.66e-22,118.0,Bacillota,Aerococcaceae,Abiotrophia
82,31092,2486809,62,53.2258064516129,1.98453005232125,3.5598652362823486,Bacillus velezensis,100.0,6.3e-21,113.0,Bacillota,Bacillaceae,Bacillus
83,44870,2541042,75,65.33333333333333,1.9201978250615843,3.5560531616210938,Acetomicrobium mobile,97.333,4.23e-25,127.0,Synergistota,Acetomicrobiaceae,Acetomicrobium
84,68851,2622029,210,49.047619047619044,1.9619914844054054,3.5519094467163086,Fusobacterium vincentii,100.0,1.94e-100,379.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
85,49573,2557712,96,57.291666666666664,1.9762405840050152,3.535064697265625,Phreatobacter stygius,100.0,5.1e-39,174.0,Pseudomonadota,Phreatobacteraceae,Phreatobacter
86,269,2369613,79,58.22784810126582,1.974703791432654,3.523145914077759,Cardiobacterium sp.,100.0,6.1e-30,143.0,Pseudomonadota,Cardiobacteriaceae,Cardiobacterium
87,15134,2432169,61,47.540983606557376,1.9461780892659748,3.5142159461975098,Dolosigranulum pigrum,100.0,2.11e-20,111.0,Bacillota,Carnobacteriaceae,Dolosigranulum
88,92584,2704976,62,46.774193548387096,1.948218669774299,3.512777090072632,Mycena crocata,100.0,6.3e-21,113.0,Basidiomycota,Mycenaceae,Mycena
89,72671,2637411,66,56.060606060606055,1.9887032008080903,3.507850170135498,Veillonella parvula,100.0,4.92e-23,120.0,Bacillota,Veillonellaceae,Veillonella
90,65958,2614550,69,55.072463768115945,1.985113277217706,3.476504325866699,Arthrobacter sp.,100.0,1.28e-24,125.0,Actinomycetota,Micrococcaceae,Arthrobacter
91,73964,2641333,75,53.333333333333336,1.9591516993505078,3.4710490703582764,Abiotrophia defectiva,100.0,8.17e-28,136.0,Bacillota,Aerococcaceae,Abiotrophia
92,70036,2626921,73,52.054794520547944,1.9581431364741209,3.462904930114746,Eubacterium ramulus,95.89,2.07e-22,119.0,Bacillota,Eubacteriaceae,Eubacterium
93,81588,2667239,71,52.112676056338024,1.9839794495031335,3.4469923973083496,Mycobacterium sp.,100.0,1.08e-25,129.0,Actinomycetota,Mycobacteriaceae,Mycobacterium
94,54373,2571833,62,45.16129032258064,1.9694631251586472,3.4465322494506836,Clematis sp.,100.0,6.3e-21,113.0,Streptophyta,Ranunculaceae,Clematis
95,41717,2531105,89,59.55056179775281,1.9639989660847936,3.441805601119995,Anaerolineaceae bacterium,100.0,9.87e-35,159.0,Chloroflexota,Anaerolineaceae,Unknown
96,61028,2598450,61,52.459016393442624,1.9963675821806275,3.4358139038085938,PREDICTED: Populus,100.0,2.11e-20,111.0,Streptophyta,Salicaceae,Populus
97,91251,2700061,75,24.0,1.756623811079363,3.4327521324157715,,,,,,,
98,35300,2510555,61,47.540983606557376,1.988009168547974,3.4256629943847656,Rothia dentocariosa,100.0,2.11e-20,111.0,Actinomycetota,Micrococcaceae,Rothia
99,89923,2694717,108,33.33333333333333,1.9041324958519188,3.4219553470611572,,,,,,,
100,69444,2626120,61,54.09836065573771,1.9902277600210603,3.4153225421905518,Desulfobulbus oralis,100.0,2.11e-20,111.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
