rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
44,56264,2581432,75,62.66666666666667,1.9356091617453688,3.5332577228546143,Symphoricarpos occidentalis,100.0,8.17e-28,136.0,Streptophyta,Caprifoliaceae,Symphoricarpos
45,54373,2571833,62,45.16129032258064,1.9694631251586472,3.5328893661499023,Clematis sp.,100.0,6.3e-21,113.0,Streptophyta,Ranunculaceae,Clematis
46,44870,2541042,75,65.33333333333333,1.9201978250615843,3.5237433910369873,Acetomicrobium mobile,97.333,4.23e-25,127.0,Synergistota,Acetomicrobiaceae,Acetomicrobium
47,34241,2505261,61,55.73770491803278,1.9547417496396882,3.499549627304077,Fusobacterium animalis,100.0,2.11e-20,111.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
48,65915,2614178,62,59.67741935483871,1.923966973111092,3.4807121753692627,Cutibacterium acnes,100.0,6.3e-21,113.0,Actinomycetota,Propionibacteriaceae,Cutibacterium
49,68851,2622029,210,49.047619047619044,1.9619914844054054,3.47940731048584,Fusobacterium vincentii,100.0,1.94e-100,379.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
50,3405,2379532,100,42.0,1.959627536341357,3.460630178451538,Fusobacterium polymorphum,100.0,3.67e-41,181.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
51,92740,2705408,70,54.285714285714285,1.9563773622329639,3.435771942138672,[Eubacterium] yurii,100.0,3.77e-25,127.0,Bacillota,Filifactoraceae,Peptoanaerobacter
52,105587,2748823,105,57.14285714285714,1.973588146958131,3.416774034500122,Methyloligella sp.,100.0,7.66e-44,190.0,Pseudomonadota,Hyphomicrobiaceae,Methyloligella
53,37254,2517099,98,44.89795918367347,1.98588945647156,3.4109981060028076,Fusobacterium canifelinum,100.0,4.33e-40,178.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
54,21623,2453718,74,52.702702702702695,1.9546470021520546,3.373382806777954,Kitasatospora sp.,100.0,2.77e-27,134.0,Actinomycetota,Streptomycetaceae,Kitasatospora
55,0,496659,61,44.26229508196721,1.4292062682172793,3.348956346511841,,,,,,,
56,94419,2711679,67,56.71641791044776,1.9733546838032243,3.338916063308716,Clostridium botulinum,100.0,1.46e-23,122.0,Bacillota,Clostridiaceae,Clostridium
57,38856,2521644,62,67.74193548387096,1.8858973983393694,3.337878942489624,Amycolatopsis sp.,100.0,6.3e-21,113.0,Actinomycetota,Pseudonocardiaceae,Amycolatopsis
58,27321,2474998,62,53.2258064516129,1.9962415338676816,3.318293333053589,Fusobacterium vincentii,100.0,6.3e-21,113.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
59,79805,2660680,63,50.79365079365079,1.907382400895482,3.316331148147583,Rhodoferax sp.,100.0,1.88e-21,114.0,Pseudomonadota,Comamonadaceae,Rhodoferax
60,55208,2576579,70,45.714285714285715,1.9460831814792088,3.3078224658966064,Streptococcus parasanguinis,100.0,3.77e-25,127.0,Bacillota,Streptococcaceae,Streptococcus
61,79362,2657673,62,53.2258064516129,1.9434275728878356,3.2941911220550537,Uncultured bacterium,100.0,6.3e-21,113.0,Unknown,Unknown,Unknown
62,41717,2531105,89,59.55056179775281,1.9639989660847936,3.2932052612304688,Anaerolineaceae bacterium,100.0,9.87e-35,159.0,Chloroflexota,Anaerolineaceae,Unknown
63,15532,2432863,84,51.19047619047619,1.9830849376713153,3.2766377925872803,Fusobacterium nucleatum,100.0,1.32e-32,152.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
64,12379,2423987,65,60.0,1.968387065705624,3.259275436401367,Abiotrophia defectiva,100.0,1.66e-22,118.0,Bacillota,Aerococcaceae,Abiotrophia
65,17428,2439597,61,62.295081967213115,1.9463023955248935,3.2506158351898193,Achromobacter xylosoxidans,100.0,2.11e-20,111.0,Pseudomonadota,Alcaligenaceae,Achromobacter
66,82952,2671710,61,45.90163934426229,1.9902277600210603,3.2468416690826416,Silene latifolia,100.0,2.11e-20,111.0,Streptophyta,Caryophyllaceae,Silene
67,32,2368942,61,55.73770491803278,1.990041897445637,3.241380453109741,MAG: uncultured,100.0,2.11e-20,111.0,Bacteroidota,Unknown,Unknown
68,61517,2599744,72,44.44444444444444,1.9546859469463558,3.2297401428222656,Diaphorobacter sp.,100.0,3.19e-26,131.0,Pseudomonadota,Comamonadaceae,Diaphorobacter
69,55081,2576441,61,34.42622950819672,1.6796605229195791,3.225998878479004,,,,,,,
70,100084,2729624,61,37.704918032786885,1.9057026102692771,3.2240712642669678,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
71,74301,2642684,68,57.35294117647059,1.9617453883919604,3.1976277828216553,Psychrobacillus glaciei,100.0,4.32e-24,123.0,Bacillota,Bacillaceae,Psychrobacillus
72,58389,2587861,76,60.526315789473685,1.9644829280359848,3.1905806064605713,MAG: Vicinamibacterales,100.0,2.4e-28,138.0,Acidobacteriota,Unknown,Unknown
73,55807,2579762,61,40.98360655737705,1.9721468987802635,3.1866586208343506,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
74,62765,2604082,61,55.73770491803278,1.966880311143805,3.1816494464874268,Candidatus Saccharibacteria,100.0,2.11e-20,111.0,Candidatus Saccharimonadota,Unknown,Unknown
75,43821,2537274,86,63.95348837209303,1.9349014071187978,3.1715075969696045,Arcanobacterium buesumense,100.0,1.13e-33,156.0,Actinomycetota,Actinomycetaceae,Arcanobacterium
76,15134,2432169,61,47.540983606557376,1.9461780892659748,3.171401023864746,Dolosigranulum pigrum,100.0,2.11e-20,111.0,Bacillota,Carnobacteriaceae,Dolosigranulum
77,49132,2556722,63,50.79365079365079,1.9775861861497872,3.1665232181549072,Mycolicibacterium smegmatis,100.0,1.88e-21,114.0,Actinomycetota,Mycobacteriaceae,Mycolicibacterium
78,35098,2507108,209,45.933014354066984,1.952715113365769,3.16550612449646,Uncultured bacterium,100.0,6.72e-100,378.0,Unknown,Unknown,Unknown
79,23373,2460873,88,59.09090909090909,1.9448794969301497,3.164963960647583,Ramlibacter sp.,100.0,9.67e-35,159.0,Pseudomonadota,Comamonadaceae,Ramlibacter
80,64069,2606528,91,59.34065934065934,1.9531468973572383,3.126340866088867,Rothia mucilaginosa,100.0,2.41e-36,165.0,Actinomycetota,Micrococcaceae,Rothia
81,28357,2478690,61,50.81967213114754,1.555908473384584,3.1245272159576416,,,,,,,
82,61644,2599928,68,54.41176470588235,1.9521221905605477,3.1214983463287354,Methanobrevibacter intestini,100.0,4.32e-24,123.0,Methanobacteriota,Methanobacteriaceae,Methanobrevibacter
83,12288,2423118,61,36.0655737704918,1.883240577891304,3.1194188594818115,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
84,22015,2454622,77,46.75324675324675,1.9685299213365355,3.0989389419555664,Clostridium butyricum,100.0,7.07e-29,140.0,Bacillota,Clostridiaceae,Clostridium
85,76169,2648626,72,59.72222222222222,1.9420029098956415,3.090632200241089,Olsenella sp.,100.0,3.19e-26,131.0,Actinomycetota,Atopobiaceae,Olsenella
86,62818,2604484,61,50.81967213114754,1.9902277600210603,3.067091226577759,Tannerella forsythia,100.0,2.11e-20,111.0,Bacteroidota,Tannerellaceae,Tannerella
87,9158,2400238,61,55.73770491803278,1.9569975011825842,3.0369722843170166,Castellaniella ginsengisoli,100.0,2.11e-20,111.0,Pseudomonadota,Alcaligenaceae,Castellaniella
88,26635,2473120,62,50.0,1.9962415338676816,3.035383462905884,Pseudomonas aeruginosa,100.0,6.3e-21,113.0,Pseudomonadota,Pseudomonadaceae,Pseudomonas
89,51273,2563638,89,52.80898876404494,1.9641829450707862,3.022559881210327,Rothia dentocariosa,100.0,2.83e-35,161.0,Actinomycetota,Micrococcaceae,Rothia
90,4825,2385023,61,59.01639344262295,1.925345647173747,3.0197994709014893,Anoxybacter fermentans,98.361,8.97e-19,106.0,Bacillota,Unknown,Anoxybacter
91,28984,2480075,88,48.86363636363637,1.8254543092789248,3.016206741333008,Clematis sp.,100.0,9.67e-35,159.0,Streptophyta,Ranunculaceae,Clematis
92,87126,2685815,69,62.31884057971014,1.9373337102641432,3.011413812637329,Oryzobacter terrae,100.0,1.28e-24,125.0,Actinomycetota,Intrasporangiaceae,Oryzobacter
93,13237,2425448,77,58.44155844155844,1.9551881179868946,3.008843421936035,Desulfobulbus oralis,100.0,7.07e-29,140.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
94,36992,2516516,72,54.166666666666664,1.9448809958264497,3.0022342205047607,Gottschalkia acidurici,97.222,1.65e-23,122.0,Bacillota,Gottschalkiaceae,Gottschalkia
95,85169,2679680,79,53.16455696202531,1.9448408871035543,2.9908154010772705,Clostridiales bacterium,100.0,6.1e-30,143.0,Bacillota,Unknown,Unknown
96,79917,2661286,66,51.515151515151516,1.9818135014672684,2.9632177352905273,MAG: Candidatus,100.0,4.92e-23,120.0,Bacillota,Unknown,Candidatus Limiplasma
97,83577,2673505,76,73.68421052631578,1.821115664120193,2.951871871948242,MAG: uncultured,100.0,2.4e-28,138.0,Actinomycetota,Unknown,Unknown
98,269,2369613,79,58.22784810126582,1.974703791432654,2.9426517486572266,Cardiobacterium sp.,100.0,6.1e-30,143.0,Pseudomonadota,Cardiobacteriaceae,Cardiobacterium
99,59136,2590559,61,49.18032786885246,1.9646924699852761,2.93961501121521,Cardiobacterium hominis,100.0,2.11e-20,111.0,Pseudomonadota,Cardiobacteriaceae,Cardiobacterium
100,8316,2398538,70,55.714285714285715,1.932340084428156,2.933929204940796,Clostridioides difficile,100.0,3.77e-25,127.0,Bacillota,Peptostreptococcaceae,Clostridioides
